hssID,eventTime,instruments,submissionTime,versionId,link,linkedEvents
2021-08-05T13:57:00-HSS-001,2021-08-05T13:57Z,"[{'displayName': 'STEREO A: PLASTIC'}, {'displayName': 'STEREO A: IMPACT'}]",2021-08-05T17:05Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17464/-1,[{'activityID': '2021-08-05T12:58:00-IPS-001'}]
2021-08-06T20:52:00-HSS-001,2021-08-06T20:52Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-08-07T18:52Z,7,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17474/-1,[{'activityID': '2021-08-06T03:08:00-IPS-001'}]
2021-08-09T23:58:00-HSS-001,2021-08-09T23:58Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-08-11T15:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17482/-1,
2021-08-13T10:00:00-HSS-001,2021-08-13T10:00Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-08-16T12:39Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17500/-1,[{'activityID': '2021-08-13T07:16:00-IPS-001'}]
2021-08-15T05:55:00-HSS-001,2021-08-15T05:55Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-08-16T13:01Z,5,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17514/-1,[{'activityID': '2021-08-14T21:16:00-IPS-001'}]
2021-08-19T09:04:00-HSS-001,2021-08-19T09:04Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-08-20T17:10Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17536/-1,
2021-08-24T12:03:00-HSS-001,2021-08-24T12:03Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-08-26T10:47Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17577/-1,
2021-08-29T19:46:00-HSS-001,2021-08-29T19:46Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-09-01T17:39Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17620/-1,"[{'activityID': '2021-08-30T05:20:00-RBE-001'}, {'activityID': '2021-09-05T13:10:00-RBE-001'}]"
2021-09-12T06:15:00-HSS-001,2021-09-12T06:15Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}]",2021-09-15T19:04Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17731/-1,
2021-09-07T13:39:00-HSS-001,2021-09-07T13:39Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-09-15T21:28Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17684/-1,[{'activityID': '2021-09-07T17:45:00-RBE-001'}]
2021-09-18T08:40:00-HSS-001,2021-09-18T08:40Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-09-18T15:15Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17768/-1,[{'activityID': '2021-09-18T08:01:00-IPS-001'}]
2021-09-21T13:52:00-HSS-001,2021-09-21T13:52Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-09-23T15:37Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17804/-1,"[{'activityID': '2021-09-21T23:03:00-IPS-001'}, {'activityID': '2021-09-23T15:35:00-RBE-001'}]"
2021-09-23T20:46:00-HSS-001,2021-09-23T20:46Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-09-24T17:46Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17818/-1,
2021-09-27T15:26:00-HSS-001,2021-09-27T15:26Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-09-29T18:13Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17859/-1,[{'activityID': '2021-09-27T15:24:00-IPS-001'}]
2021-10-07T17:30:00-HSS-001,2021-10-07T17:30Z,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]",2021-10-08T19:34Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17917/-1,
2021-10-10T12:01:00-HSS-001,2021-10-10T12:01Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-10-11T17:49Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17935/-1,[{'activityID': '2021-10-10T12:01:00-IPS-001'}]
2021-10-14T20:13:00-HSS-001,2021-10-14T20:13Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-10-16T12:25Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17975/-1,[{'activityID': '2021-10-14T20:00:00-IPS-001'}]
2021-10-18T09:53:00-HSS-001,2021-10-18T09:53Z,"[{'displayName': 'STEREO A: PLASTIC'}, {'displayName': 'STEREO A: IMPACT'}]",2021-10-18T19:57Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18004/-1,[{'activityID': '2021-10-18T07:53:00-IPS-001'}]
2021-10-18T05:26:00-HSS-001,2021-10-18T05:26Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-10-20T19:20Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18012/-1,[{'activityID': '2021-10-18T18:27:00-IPS-001'}]
2021-10-19T09:51:00-HSS-001,2021-10-19T09:51Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-10-20T19:22Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18020/-1,
2021-10-20T17:18:00-HSS-001,2021-10-20T17:18Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-10-21T15:54Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18026/-1,[{'activityID': '2021-10-20T20:35:00-IPS-001'}]
2021-10-30T10:00:00-HSS-001,2021-10-30T10:00Z,[{'displayName': 'STEREO A: IMPACT'}],2021-11-01T17:40Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18128/-1,
2021-11-01T16:54:00-HSS-001,2021-11-01T16:54Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-11-02T13:18Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18159/-1,[{'activityID': '2021-11-01T17:54:00-IPS-001'}]
2021-11-05T09:14:00-HSS-001,2021-11-05T09:14Z,"[{'displayName': 'STEREO A: PLASTIC'}, {'displayName': 'STEREO A: IMPACT'}]",2021-11-05T12:57Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18226/-1,[{'activityID': '2021-11-05T07:22:00-IPS-001'}]
2021-11-08T10:30:00-HSS-001,2021-11-08T10:30Z,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]",2021-11-08T17:21Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18257/-1,[{'activityID': '2021-11-08T08:09:00-IPS-001'}]
2021-11-09T15:42:00-HSS-001,2021-11-09T15:42Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-11-13T16:02Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18295/-1,[{'activityID': '2021-11-13T14:05:00-RBE-001'}]
2021-11-14T00:02:00-HSS-001,2021-11-14T00:02Z,[{'displayName': 'STEREO A: PLASTIC'}],2021-11-14T16:16Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18298/-1,[{'activityID': '2021-11-13T12:00:00-IPS-001'}]
2021-11-12T11:06:00-HSS-001,2021-11-12T11:06Z,[{'displayName': 'STEREO A: PLASTIC'}],2021-11-15T14:21Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18300/-1,
2021-11-15T22:10:00-HSS-001,2021-11-15T22:10Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-11-19T01:09Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18307/-1,[{'activityID': '2021-11-15T17:30:00-IPS-001'}]
2021-11-17T09:00:00-HSS-001,2021-11-17T09:00Z,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]",2021-11-19T16:06Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18322/-1,
2021-11-20T05:13:00-HSS-001,2021-11-20T05:13Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-11-22T17:08Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18336/-1,[{'activityID': '2021-11-23T16:40:00-RBE-001'}]
2021-11-30T20:31:00-HSS-001,2021-11-30T20:31Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-12-01T16:55Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18403/-1,"[{'activityID': '2021-11-30T13:45:00-IPS-001'}, {'activityID': '2021-12-02T10:55:00-RBE-001'}]"
2021-12-03T21:48:00-HSS-001,2021-12-03T21:48Z,[{'displayName': 'DSCOVR: PLASMAG'}],2021-12-04T13:55Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18426/-1,"[{'activityID': '2021-12-02T10:55:00-RBE-001'}, {'activityID': '2021-12-03T09:03:00-IPS-001'}, {'activityID': '2021-12-09T12:40:00-RBE-001'}]"
2021-12-15T04:30:00-HSS-001,2021-12-15T04:30Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-12-15T13:51Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18530/-1,[{'activityID': '2021-12-15T03:20:00-IPS-001'}]
2021-12-10T11:00:00-HSS-001,2021-12-10T11:00Z,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]",2021-12-15T20:45Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18540/-1,[{'activityID': '2021-12-10T11:00:00-IPS-001'}]
2021-12-15T16:00:00-HSS-001,2021-12-15T16:00Z,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]",2021-12-17T02:32Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18561/-1,
2021-12-19T18:00:00-HSS-001,2021-12-19T18:00Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-12-20T18:29Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18591/-1,"[{'activityID': '2021-12-19T12:08:00-IPS-001'}, {'activityID': '2021-12-22T15:10:00-RBE-001'}]"
2021-12-27T14:40:00-HSS-001,2021-12-27T14:40Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-12-29T17:22Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/18683/-1,[{'activityID': '2021-12-27T08:38:00-IPS-001'}]
