catalog,activityID,location,eventTime,submissionTime,versionId,link,instruments
M2M_CATALOG,2021-07-24T01:48:00-IPS-001,STEREO A,2021-07-24T01:48Z,2021-07-24T17:03Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17381/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-07-25T06:22:00-IPS-001,Earth,2021-07-25T06:22Z,2021-07-25T19:56Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17388/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-07-25T18:50:00-IPS-001,Earth,2021-07-25T18:50Z,2021-07-26T12:13Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17390/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-07-27T16:57:00-IPS-001,Earth,2021-07-27T16:57Z,2021-07-28T12:39Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17408/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-08-02T09:03:00-IPS-001,Earth,2021-08-02T09:03Z,2021-08-02T14:30Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17438/-1,[{'displayName': 'DSCOVR: PLASMAG'}]
M2M_CATALOG,2021-08-05T12:58:00-IPS-001,STEREO A,2021-08-05T12:58Z,2021-08-05T17:07Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17465/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-08-06T03:08:00-IPS-001,Earth,2021-08-06T03:08Z,2021-08-10T15:57Z,11,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17473/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-08-13T07:16:00-IPS-001,Earth,2021-08-13T07:16Z,2021-08-14T13:10Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17501/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-08-14T21:16:00-IPS-001,Earth,2021-08-14T21:16Z,2021-08-15T13:59Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17515/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-08-27T00:25:00-IPS-001,Earth,2021-08-27T00:25Z,2021-08-27T10:45Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17588/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-08-27T11:42:00-IPS-001,Earth,2021-08-27T11:42Z,2021-08-27T17:33Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17590/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-08-30T11:00:00-IPS-001,STEREO A,2021-08-30T11:00Z,2021-08-30T16:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17623/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
